Order ID,Order Date,CustomerName,State,City,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode
B-25651,07 May 2018,Anurag,Madhya Pradesh,Indore,49,3,1,Clothing,Shirt,COD
B-25793,24 September 2018,Siddharth,Madhya Pradesh,Indore,63,-24,6,Clothing,Kurti,COD
B-25833,29 October 2018,Krishna,Madhya Pradesh,Indore,45,16,3,Clothing,Stole,COD
B-25685,10 June 2018,Sheetal,Madhya Pradesh,Indore,45,-2,4,Clothing,Shirt,COD
B-25985,31 January 2018,Ginny,Madhya Pradesh,Indore,44,11,4,Clothing,Stole,COD
B-25952,13 January 2018,Priyanka,Madhya Pradesh,Indore,44,14,3,Clothing,Hankerchief,COD
B-25897,06 December 2018,Rohan,Madhya Pradesh,Indore,43,5,3,Clothing,Stole,COD
B-25833,29 October 2018,Krishna,Madhya Pradesh,Indore,36,4,9,Clothing,Hankerchief,COD
B-25897,06 December 2018,Rohan,Madhya Pradesh,Indore,33,10,3,Clothing,Hankerchief,COD
B-25701,26 June 2018,Maithilee,Madhya Pradesh,Indore,33,-12,5,Clothing,Hankerchief,COD
B-25690,15 June 2018,Gunjan,Madhya Pradesh,Indore,31,-10,3,Clothing,Skirt,COD
B-25762,26 August 2018,Anudeep,Madhya Pradesh,Indore,27,4,3,Clothing,Skirt,COD
B-25783,15 September 2018,Shivangi,Madhya Pradesh,Indore,26,2,2,Clothing,Hankerchief,COD
B-25814,10 October 2018,Swapnil,Madhya Pradesh,Indore,462,169,4,Clothing,Saree,COD
B-25703,28 June 2018,Ekta,Madhya Pradesh,Indore,22,-15,4,Clothing,Kurti,COD
B-26061,14 March 2018,Anurag,Madhya Pradesh,Indore,642,180,5,Clothing,Saree,COD
B-25783,15 September 2018,Shivangi,Madhya Pradesh,Indore,21,-17,3,Clothing,Shirt,COD
B-25793,24 September 2018,Siddharth,Madhya Pradesh,Indore,18,1,3,Clothing,Hankerchief,COD
B-25651,07 May 2018,Anurag,Madhya Pradesh,Indore,16,-10,2,Clothing,T-shirt,COD
B-25757,21 August 2018,Vishakha,Madhya Pradesh,Indore,14,5,1,Clothing,Hankerchief,COD
B-25979,27 January 2018,Shivangi,Madhya Pradesh,Indore,12,1,2,Clothing,Hankerchief,COD
B-25651,07 May 2018,Anurag,Madhya Pradesh,Indore,11,-4,2,Clothing,Skirt,COD
B-25752,14 August 2018,Vaibhav,Madhya Pradesh,Indore,8,-2,2,Clothing,Hankerchief,COD
B-25655,11 May 2018,Nida,Madhya Pradesh,Indore,7,-4,3,Clothing,Hankerchief,COD
B-25873,23 November 2018,Divyeta,Madhya Pradesh,Indore,7,1,1,Clothing,Hankerchief,COD
B-25603,03 April 2018,Jahan,Madhya Pradesh,Bhopal,12,1,2,Clothing,Hankerchief,COD
B-25603,03 April 2018,Jahan,Madhya Pradesh,Bhopal,107,36,6,Clothing,Stole,COD
B-26067,16 March 2018,Tulika,Madhya Pradesh,Bhopal,53,2,4,Clothing,Hankerchief,COD
B-25675,31 May 2018,Shreya,Madhya Pradesh,Bhopal,929,-93,9,Clothing,Saree,COD
B-25693,18 June 2018,Parna,Madhya Pradesh,Bhopal,76,-72,9,Clothing,Hankerchief,COD
B-25693,18 June 2018,Parna,Madhya Pradesh,Bhopal,632,316,6,Clothing,Saree,COD
B-25911,15 December 2018,Phalguni,Madhya Pradesh,Bhopal,40,15,1,Clothing,Kurti,COD
B-26076,21 March 2018,Jahan,Madhya Pradesh,Bhopal,219,4,2,Clothing,Saree,COD
B-26094,27 March 2018,Deepak,Madhya Pradesh,Bhopal,152,50,6,Clothing,Stole,COD
B-26003,08 February 2018,Hitesh,Madhya Pradesh,Bhopal,79,16,3,Clothing,T-shirt,COD
B-25765,29 August 2018,Meghana,Madhya Pradesh,Bhopal,139,14,3,Clothing,Stole,COD
B-26003,08 February 2018,Hitesh,Madhya Pradesh,Bhopal,128,47,4,Clothing,Hankerchief,COD
B-25603,03 April 2018,Jahan,Madhya Pradesh,Bhopal,116,16,4,Clothing,Stole,COD
B-25855,08 November 2018,Abhijeet,Madhya Pradesh,Bhopal,90,17,3,Clothing,Hankerchief,COD
B-25711,06 July 2018,Sakshi,Madhya Pradesh,Bhopal,100,-58,4,Clothing,Hankerchief,COD
B-25801,01 October 2018,Aryan,Madhya Pradesh,Bhopal,21,-10,4,Clothing,Leggings,COD
B-26076,21 March 2018,Jahan,Madhya Pradesh,Bhopal,60,13,2,Clothing,T-shirt,COD
B-25801,01 October 2018,Aryan,Madhya Pradesh,Bhopal,64,6,4,Clothing,Saree,COD
B-25801,01 October 2018,Aryan,Madhya Pradesh,Bhopal,49,-31,2,Clothing,Stole,COD
B-25603,03 April 2018,Jahan,Madhya Pradesh,Bhopal,38,18,1,Clothing,Kurti,COD
B-25907,11 December 2018,Jaydeep,Madhya Pradesh,Bhopal,30,11,5,Clothing,Hankerchief,COD
B-26013,13 February 2018,Jahan,Madhya Pradesh,Bhopal,29,-10,3,Clothing,Skirt,COD
B-25693,18 June 2018,Parna,Madhya Pradesh,Bhopal,13,-13,2,Clothing,Skirt,COD
B-25603,03 April 2018,Jahan,Madhya Pradesh,Bhopal,1355,-60,5,Clothing,Trousers,COD
B-25855,08 November 2018,Abhijeet,Madhya Pradesh,Bhopal,1027,441,8,Clothing,Saree,COD
B-25602,01 April 2018,Vrinda,Maharashtra,Pune,561,212,3,Clothing,Saree,COD
B-25656,11 May 2018,Priyanka,Maharashtra,Pune,24,-1,2,Clothing,Hankerchief,COD
B-25656,11 May 2018,Priyanka,Maharashtra,Pune,6,3,1,Clothing,Hankerchief,COD
B-25656,11 May 2018,Priyanka,Maharashtra,Pune,406,126,2,Clothing,Saree,COD
B-25854,08 November 2018,Shubham,Maharashtra,Pune,381,144,2,Clothing,Saree,COD
B-26030,21 February 2018,Sarita,Maharashtra,Pune,11,5,1,Clothing,Skirt,COD
B-26030,21 February 2018,Sarita,Maharashtra,Pune,50,25,5,Clothing,Stole,COD
B-25854,08 November 2018,Shubham,Maharashtra,Pune,149,48,6,Clothing,Stole,COD
B-25764,28 August 2018,Sanjova,Maharashtra,Pune,26,0,2,Clothing,Kurti,COD
B-25656,11 May 2018,Priyanka,Maharashtra,Pune,101,18,9,Clothing,Skirt,COD
B-25854,08 November 2018,Shubham,Maharashtra,Pune,76,19,3,Clothing,Hankerchief,COD
B-25656,11 May 2018,Priyanka,Maharashtra,Pune,61,-23,2,Clothing,Saree,COD
B-25964,20 January 2018,Oshin,Maharashtra,Pune,89,6,5,Clothing,Saree,COD
B-26012,13 February 2018,Pearl,Maharashtra,Pune,199,8,2,Clothing,Saree,COD
B-25638,26 April 2018,Parth,Maharashtra,Pune,154,39,3,Clothing,Hankerchief,COD
B-26093,27 March 2018,Sarita,Maharashtra,Pune,49,5,4,Clothing,Hankerchief,COD
B-25997,04 February 2018,Yogesh,Maharashtra,Pune,48,15,1,Clothing,Hankerchief,COD
B-25854,08 November 2018,Shubham,Maharashtra,Pune,40,16,3,Clothing,Hankerchief,COD
B-26075,21 March 2018,Pearl,Maharashtra,Pune,34,12,2,Clothing,Stole,COD
B-25909,13 December 2018,Sujay,Maharashtra,Pune,168,56,3,Clothing,Saree,COD
B-25764,28 August 2018,Sanjova,Maharashtra,Pune,119,43,5,Clothing,T-shirt,COD
B-25800,01 October 2018,Ishit,Maharashtra,Pune,21,-6,3,Clothing,Leggings,COD
B-25997,04 February 2018,Yogesh,Maharashtra,Pune,16,6,3,Clothing,Hankerchief,COD
B-25710,05 July 2018,Megha,Maharashtra,Pune,13,-8,1,Clothing,T-shirt,COD
B-25656,11 May 2018,Priyanka,Maharashtra,Pune,13,-1,3,Clothing,Hankerchief,COD
B-25656,11 May 2018,Priyanka,Maharashtra,Pune,1389,680,7,Clothing,Saree,COD
B-25858,13 November 2018,Uudhav,Maharashtra,Mumbai,29,11,4,Clothing,Skirt,COD
B-25858,13 November 2018,Uudhav,Maharashtra,Mumbai,245,30,2,Clothing,Saree,COD
B-25858,13 November 2018,Uudhav,Maharashtra,Mumbai,219,0,1,Clothing,Saree,COD
B-25650,06 May 2018,Chirag,Maharashtra,Mumbai,512,-225,5,Clothing,Saree,COD
B-25650,06 May 2018,Chirag,Maharashtra,Mumbai,238,20,2,Clothing,Saree,COD
B-25691,16 June 2018,Akancha,Maharashtra,Mumbai,714,56,4,Clothing,Saree,COD
B-25856,10 November 2018,Abhijeet,Maharashtra,Mumbai,257,3,2,Clothing,Saree,COD
B-25856,10 November 2018,Abhijeet,Maharashtra,Mumbai,10,2,2,Clothing,Skirt,COD
B-25662,17 May 2018,Sweta,Maharashtra,Mumbai,24,-2,2,Clothing,T-shirt,COD
B-25796,24 September 2018,Sukrith,Maharashtra,Mumbai,632,-316,6,Clothing,Saree,COD
B-26054,10 March 2018,Mayank,Maharashtra,Mumbai,246,98,5,Clothing,Hankerchief,COD
B-25751,14 August 2018,Nishant,Maharashtra,Mumbai,32,7,3,Clothing,Hankerchief,COD
B-25896,05 December 2018,Aman,Maharashtra,Mumbai,287,-66,6,Clothing,Kurti,COD
B-25837,29 October 2018,Palak,Maharashtra,Mumbai,263,50,5,Clothing,Stole,COD
B-25933,04 January 2018,Shikhar,Maharashtra,Mumbai,412,412,6,Clothing,Saree,COD
B-26060,13 March 2018,Chirag,Maharashtra,Mumbai,382,68,3,Clothing,Saree,COD
B-26064,16 March 2018,Ankita,Maharashtra,Mumbai,61,3,4,Clothing,Hankerchief,COD
B-25872,22 November 2018,Saurabh,Maharashtra,Mumbai,57,27,2,Clothing,Shirt,COD
B-25878,24 November 2018,Mrinal,Maharashtra,Mumbai,46,0,4,Clothing,Leggings,COD
B-26054,10 March 2018,Mayank,Maharashtra,Mumbai,156,23,3,Clothing,Stole,COD
B-25796,24 September 2018,Sukrith,Maharashtra,Mumbai,148,0,3,Clothing,Saree,COD
B-25970,22 January 2018,Rhea,Maharashtra,Mumbai,111,9,4,Clothing,Stole,COD
B-25778,11 September 2018,Surabhi,Maharashtra,Mumbai,109,-6,6,Clothing,Saree,COD
B-25896,05 December 2018,Aman,Maharashtra,Mumbai,103,36,2,Clothing,Hankerchief,COD
B-25802,05 October 2018,Yash,Maharashtra,Mumbai,95,5,2,Clothing,Stole,COD
B-25864,15 November 2018,Aromal,Maharashtra,Mumbai,100,6,4,Clothing,Stole,COD
B-25956,17 January 2018,Shreya,Maharashtra,Mumbai,89,-37,4,Clothing,Shirt,COD
B-26054,10 March 2018,Mayank,Maharashtra,Mumbai,88,20,2,Clothing,Saree,COD
B-25858,13 November 2018,Uudhav,Maharashtra,Mumbai,82,13,2,Clothing,Shirt,COD
B-25902,10 December 2018,Ishpreet,Maharashtra,Mumbai,79,6,7,Clothing,Saree,COD
B-25679,04 June 2018,Avni,Maharashtra,Mumbai,76,-50,1,Clothing,Saree,COD
B-25792,24 September 2018,Abhishek,Maharashtra,Mumbai,74,-25,3,Clothing,Stole,COD
B-25751,14 August 2018,Nishant,Maharashtra,Mumbai,65,-4,6,Clothing,Hankerchief,COD
B-25956,17 January 2018,Shreya,Maharashtra,Mumbai,59,10,2,Clothing,Hankerchief,COD
B-25740,03 August 2018,Rane,Maharashtra,Mumbai,58,-8,2,Clothing,Saree,COD
B-25856,10 November 2018,Abhijeet,Maharashtra,Mumbai,48,6,1,Clothing,Saree,COD
B-25654,10 May 2018,Sabah,Maharashtra,Mumbai,54,-3,3,Clothing,Saree,COD
B-26054,10 March 2018,Mayank,Maharashtra,Mumbai,139,36,3,Clothing,Stole,COD
B-26099,30 March 2018,Bhishm,Maharashtra,Mumbai,207,37,4,Clothing,Hankerchief,COD
B-25843,03 November 2018,Mrunal,Maharashtra,Mumbai,50,7,6,Clothing,Skirt,COD
B-25751,14 August 2018,Nishant,Maharashtra,Mumbai,43,-5,2,Clothing,Saree,COD
B-25751,14 August 2018,Nishant,Maharashtra,Mumbai,43,21,3,Clothing,Shirt,COD
B-25896,05 December 2018,Aman,Maharashtra,Mumbai,42,7,2,Clothing,Kurti,COD
B-25843,03 November 2018,Mrunal,Maharashtra,Mumbai,255,74,5,Clothing,Hankerchief,COD
B-25740,03 August 2018,Rane,Maharashtra,Mumbai,40,-37,3,Clothing,Stole,COD
B-25687,11 June 2018,Sanjna,Maharashtra,Mumbai,51,21,3,Clothing,T-shirt,COD
B-25956,17 January 2018,Shreya,Maharashtra,Mumbai,33,10,3,Clothing,Hankerchief,COD
B-26046,04 March 2018,Nishi,Maharashtra,Mumbai,32,3,8,Clothing,Hankerchief,COD
B-25933,04 January 2018,Shikhar,Maharashtra,Mumbai,81,-44,3,Clothing,Stole,COD
B-25702,27 June 2018,Shaily,Maharashtra,Mumbai,31,-3,4,Clothing,Saree,COD
B-25902,10 December 2018,Ishpreet,Maharashtra,Mumbai,1700,85,3,Clothing,Trousers,COD
B-25733,28 July 2018,Dhirajendu,Maharashtra,Mumbai,30,-10,2,Clothing,Stole,COD
B-25756,20 August 2018,Mohan,Maharashtra,Mumbai,29,-24,4,Clothing,Leggings,COD
B-25856,10 November 2018,Abhijeet,Maharashtra,Mumbai,689,90,5,Clothing,Saree,COD
B-25858,13 November 2018,Uudhav,Maharashtra,Mumbai,27,5,2,Clothing,Skirt,COD
B-25864,15 November 2018,Aromal,Maharashtra,Mumbai,27,9,2,Clothing,Hankerchief,COD
B-25723,18 July 2018,Wale,Maharashtra,Mumbai,26,-24,1,Clothing,Stole,COD
B-25884,28 November 2018,Sumeet,Maharashtra,Mumbai,24,2,4,Clothing,Hankerchief,COD
B-25949,13 January 2018,Shantanu,Maharashtra,Mumbai,24,11,3,Clothing,Hankerchief,COD
B-25733,28 July 2018,Dhirajendu,Maharashtra,Mumbai,23,-6,4,Clothing,Hankerchief,COD
B-25802,05 October 2018,Yash,Maharashtra,Mumbai,23,-3,1,Clothing,Shirt,COD
B-25896,05 December 2018,Aman,Maharashtra,Mumbai,23,4,2,Clothing,Skirt,COD
B-25864,15 November 2018,Aromal,Maharashtra,Mumbai,22,8,2,Clothing,Leggings,COD
B-25858,13 November 2018,Uudhav,Maharashtra,Mumbai,22,8,3,Clothing,Hankerchief,COD
B-25890,04 December 2018,Divyansha,Maharashtra,Mumbai,465,207,9,Clothing,Saree,COD
B-25691,16 June 2018,Akancha,Maharashtra,Mumbai,17,-9,3,Clothing,Stole,COD
B-25751,14 August 2018,Nishant,Maharashtra,Mumbai,14,-3,2,Clothing,Leggings,COD
B-25687,11 June 2018,Sanjna,Maharashtra,Mumbai,14,-1,4,Clothing,Kurti,COD
B-25802,05 October 2018,Yash,Maharashtra,Mumbai,13,-9,2,Clothing,Skirt,COD
B-26099,30 March 2018,Bhishm,Maharashtra,Mumbai,9,3,1,Clothing,Skirt,COD
B-25707,01 July 2018,Shivani,Maharashtra,Mumbai,8,-6,1,Clothing,Stole,COD
B-25740,03 August 2018,Rane,Maharashtra,Mumbai,7,0,2,Clothing,Skirt,COD
B-25700,25 June 2018,Shubhi,Maharashtra,Mumbai,7,-3,2,Clothing,Hankerchief,COD
B-26055,10 March 2018,Harivansh,Uttar Pradesh,Mathura,443,11,1,Clothing,Saree,COD
B-26055,10 March 2018,Harivansh,Uttar Pradesh,Mathura,227,48,5,Clothing,Stole,COD
B-26055,10 March 2018,Harivansh,Uttar Pradesh,Mathura,213,4,14,Clothing,Shirt,COD
B-25973,24 January 2018,Madan Mohan,Uttar Pradesh,Mathura,398,111,8,Clothing,Hankerchief,COD
B-25696,21 June 2018,Noopur,Karnataka,Bangalore,275,-275,4,Clothing,Saree,COD
B-25851,06 November 2018,Kushal,Nagaland,Kohima,135,-54,5,Clothing,Kurti,COD
B-25686,11 June 2018,Pooja,Himachal Pradesh,Simla,381,-13,2,Clothing,Saree,COD
B-25845,03 November 2018,Snel,Kerala,Thiruvananthapuram,82,-33,4,Clothing,Kurti,COD
B-25816,12 October 2018,Mane,Andhra Pradesh,Hyderabad,391,113,8,Clothing,Stole,COD
B-25608,08 April 2018,Aarushi,Tamil Nadu,Chennai,257,23,5,Clothing,Hankerchief,COD
B-26051,07 March 2018,Parishi,West Bengal,Kolkata,216,50,4,Clothing,Stole,COD
B-25714,09 July 2018,Stuti,Karnataka,Bangalore,11,-5,2,Clothing,Hankerchief,COD
B-25667,23 May 2018,Anjali,Haryana,Chandigarh,11,-2,4,Clothing,Hankerchief,COD
B-25850,05 November 2018,Abhishek,Goa,Goa,93,-1,2,Clothing,Hankerchief,COD
B-25850,05 November 2018,Abhishek,Goa,Goa,24,1,4,Clothing,Hankerchief,COD
B-25852,07 November 2018,Soumyabrata,Andhra Pradesh,Hyderabad,24,1,2,Clothing,Hankerchief,COD
B-26019,15 February 2018,Jitesh,Uttar Pradesh,Lucknow,585,175,13,Clothing,T-shirt,COD
B-25821,16 October 2018,Ajay,West Bengal,Kolkata,17,0,1,Clothing,Hankerchief,COD
B-25999,05 February 2018,Diwakar,Delhi,Delhi,223,62,7,Clothing,Shirt,COD
B-25999,05 February 2018,Diwakar,Delhi,Delhi,215,-30,2,Clothing,Saree,COD
B-25787,20 September 2018,Asish,Jammu and Kashmir,Kashmir,556,-209,7,Clothing,Saree,COD
B-25808,08 October 2018,Apsingekar,Bihar,Patna,63,-17,6,Clothing,Leggings,COD
B-25607,06 April 2018,Sonakshi,Jammu and Kashmir,Kashmir,50,-15,4,Clothing,Leggings,COD
B-25831,27 October 2018,Mahima,Sikkim,Gangtok,693,254,6,Clothing,Saree,COD
B-25633,26 April 2018,Amit,Sikkim,Gangtok,496,-79,2,Clothing,Trousers,COD
B-25745,09 August 2018,Kartik,Gujarat,Ahmedabad,296,225,11,Clothing,Saree,COD
B-26053,09 March 2018,Kirti,Jammu and Kashmir,Kashmir,85,2,6,Clothing,Stole,COD
B-25996,04 February 2018,Prashant,Delhi,Delhi,31,2,2,Clothing,Hankerchief,COD
B-26035,23 February 2018,Pinky,Jammu and Kashmir,Kashmir,291,119,11,Clothing,Saree,COD
B-25743,07 August 2018,Aman,Nagaland,Kohima,503,-56,2,Clothing,Trousers,COD
B-25940,06 January 2018,Vivek,Goa,Goa,13,3,2,Clothing,Hankerchief,COD
B-26087,26 March 2018,Vandana,Himachal Pradesh,Simla,180,0,8,Clothing,Stole,COD
B-26050,06 March 2018,Paridhi,Rajasthan,Jaipur,325,32,7,Clothing,T-shirt,COD
B-25835,29 October 2018,Moumita,Gujarat,Ahmedabad,52,11,5,Clothing,Leggings,COD
B-26016,14 February 2018,Hazel,Karnataka,Bangalore,202,4,4,Clothing,Hankerchief,COD
B-26056,10 March 2018,Sonal,Bihar,Patna,424,161,2,Clothing,Saree,COD
B-26056,10 March 2018,Sonal,Bihar,Patna,15,6,2,Clothing,Hankerchief,COD
B-25673,28 May 2018,Arsheen,Gujarat,Ahmedabad,45,-2,4,Clothing,Shirt,COD
B-25987,31 January 2018,Manjiri,Delhi,Delhi,299,0,6,Clothing,Stole,COD
B-25630,24 April 2018,Sahil,Punjab,Chandigarh,34,-22,4,Clothing,T-shirt,COD
B-26026,19 February 2018,Kanak,Goa,Goa,255,76,9,Clothing,Hankerchief,COD
B-26089,26 March 2018,Kanak,Goa,Goa,27,4,1,Clothing,Hankerchief,COD
B-25863,15 November 2018,Manibalan,Kerala,Thiruvananthapuram,189,87,7,Clothing,Stole,COD
B-25908,12 December 2018,Pradeep,Delhi,Delhi,179,-25,5,Clothing,Kurti,COD
B-25954,14 January 2018,Trupti,Gujarat,Ahmedabad,27,0,2,Clothing,Leggings,COD
B-25753,17 August 2018,Shivam,Uttar Pradesh,Lucknow,154,22,7,Clothing,T-shirt,COD
B-25623,22 April 2018,Atharv,West Bengal,Kolkata,149,-87,4,Clothing,Saree,COD
B-25673,28 May 2018,Arsheen,Gujarat,Ahmedabad,149,-1,1,Clothing,Saree,COD
B-26038,24 February 2018,Pooja,Bihar,Patna,52,14,2,Clothing,Stole,COD
B-25781,14 September 2018,Rutuja,Gujarat,Ahmedabad,25,-1,4,Clothing,Kurti,COD
B-25717,12 July 2018,Manshul,Uttar Pradesh,Lucknow,138,-3,5,Clothing,Saree,COD
B-25845,03 November 2018,Snel,Kerala,Thiruvananthapuram,132,54,5,Clothing,Stole,COD
B-25646,01 May 2018,Sonal,Bihar,Patna,299,-8,2,Clothing,Saree,COD
B-25874,24 November 2018,Megha,Rajasthan,Udaipur,124,54,5,Clothing,T-shirt,COD
B-25882,26 November 2018,Masurkar,Punjab,Amritsar,121,19,4,Clothing,Stole,COD
B-25951,13 January 2018,Jesal,West Bengal,Kolkata,120,23,5,Clothing,Stole,COD
B-26040,26 February 2018,Sahil,Punjab,Chandigarh,38,9,2,Clothing,Stole,COD
B-25696,21 June 2018,Noopur,Karnataka,Bangalore,116,-4,1,Clothing,Saree,COD
B-26098,29 March 2018,Pinky,Jammu and Kashmir,Kashmir,46,14,5,Clothing,Skirt,COD
B-25993,03 February 2018,Madhav,Delhi,Delhi,44,8,2,Clothing,Stole,COD
B-25652,08 May 2018,Tushina,Goa,Goa,34,-6,4,Clothing,Leggings,COD
B-25852,07 November 2018,Soumyabrata,Andhra Pradesh,Hyderabad,105,-33,5,Clothing,Kurti,COD
B-25761,25 August 2018,Madhav,Uttar Pradesh,Mathura,102,-90,1,Clothing,Saree,COD
B-25912,16 December 2018,Preksha,Delhi,Delhi,102,11,6,Clothing,T-shirt,COD
B-26052,08 March 2018,Ajay,Karnataka,Bangalore,101,16,4,Clothing,T-shirt,COD
B-26033,22 February 2018,Atharv,West Bengal,Kolkata,111,35,5,Clothing,Shirt,COD
B-26055,10 March 2018,Harivansh,Uttar Pradesh,Mathura,94,27,2,Clothing,T-shirt,COD
B-25810,10 October 2018,Nripraj,Punjab,Chandigarh,92,42,2,Clothing,Stole,COD
B-25851,06 November 2018,Kushal,Nagaland,Kohima,90,29,5,Clothing,T-shirt,COD
B-25609,09 April 2018,Jitesh,Uttar Pradesh,Lucknow,249,-5,4,Clothing,Saree,COD
B-25901,10 December 2018,Suraj,Gujarat,Surat,90,27,2,Clothing,T-shirt,COD
B-26025,19 February 2018,Bhavna,Sikkim,Gangtok,32,1,2,Clothing,Stole,COD
B-25698,23 June 2018,Amisha,Tamil Nadu,Chennai,87,-83,5,Clothing,Kurti,COD
B-25606,06 April 2018,Hazel,Karnataka,Bangalore,87,4,2,Clothing,Shirt,COD
B-25683,08 June 2018,Shreya,Kerala,Thiruvananthapuram,86,-55,6,Clothing,Saree,COD
B-26085,26 March 2018,Shrichand,Punjab,Chandigarh,86,22,2,Clothing,Saree,COD
B-25773,06 September 2018,Shreya,Kerala,Thiruvananthapuram,85,-9,4,Clothing,Saree,COD
B-25999,05 February 2018,Diwakar,Delhi,Delhi,152,-3,5,Clothing,Saree,COD
